customer_id,customer_unique_id,customer_name,customer_phone,customer_email,customer_city,customer_state,customer_region,customer_tier,is_active,created_date
KH000038,UNIQUE0000038,Ong Loc Vinh,0919835530,ong.loc.vinh663@customer.tgdd.vn,Thanh Hoa,Thanh Hoa,North,Silver,False,2023-07-22T10:44:38
KH000039,UNIQUE0000039,Doan Quynh Hoai,0989386660,đoan.quynh.hoai007@customer.tgdd.vn,Thanh Hoa,Thanh Hoa,North,Silver,True,2023-12-28T10:44:38
KH000040,UNIQUE0000040,Doan Manh Hieu,0942754375,đoan.manh.hieu698@customer.tgdd.vn,Quang Ninh,Quang Ninh,North,Gold,True,2024-12-23T10:44:38
KH000041,UNIQUE0000041,Doan Anh Long,0946038382,đoan.anh.long448@customer.tgdd.vn,Vinh,Nghe An,North,Silver,True,2025-10-03T10:44:38
KH000042,UNIQUE0000042,Ha Hai Thien,0916404499,ha.hai.thien521@customer.tgdd.vn,Long Xuyen,An Giang,South,Silver,True,2025-05-16T10:44:38
KH000043,UNIQUE0000043,Dang Quynh Ly,0913501596,đang.quynh.ly668@customer.tgdd.vn,Rach Gia,Kien Giang,South,Silver,False,2023-06-17T10:44:38
KH000044,UNIQUE0000044,Dang Lan Trang,0922860825,đang.lan.trang729@customer.tgdd.vn,Buon Ma Thuot,Dak Lak,Central Highlands,Silver,True,2025-08-04T10:44:38
KH000045,UNIQUE0000045,Chu Kim Tien,0946965832,chu.kim.tien527@customer.tgdd.vn,Vung Tau,Ba Ria-Vung Tau,South,Silver,True,2024-03-18T10:44:38
KH000046,UNIQUE0000046,Thai My Anh,0948926669,thai.my.anh362@customer.tgdd.vn,Long Xuyen,An Giang,South,Silver,True,2023-10-30T10:44:38
KH000047,UNIQUE0000047,Yen Thu Tu,0930500202,yen.thu.tu512@customer.tgdd.vn,Nha Trang,Khanh Hoa,Central,Silver,True,2023-12-27T10:44:38
KH000048,UNIQUE0000048,Dang Anh Thien,0965380437,đang.anh.thien524@customer.tgdd.vn,Thai Nguyen,Thai Nguyen,North,Platinum,True,2024-08-26T10:44:38
KH000049,UNIQUE0000049,Ho Diem Linh,0937119911,ho.diem.linh182@customer.tgdd.vn,Can Tho,Can Tho,South,Gold,True,2024-04-13T10:44:38
KH000050,UNIQUE0000050,Thai Hung Trung,0984906327,thai.hung.trung028@customer.tgdd.vn,Vung Tau,Ba Ria-Vung Tau,South,Platinum,False,2025-06-13T10:44:38
KH000051,UNIQUE0000051,Thai Thao Hoa,0920962722,thai.thao.hoa085@customer.tgdd.vn,Thai Nguyen,Thai Nguyen,North,Diamond,True,2023-02-14T10:44:38
KH000052,UNIQUE0000052,Kieu Linh Nghi,0985523339,kieu.linh.nghi763@customer.tgdd.vn,Ha Tinh,Ha Tinh,North,Gold,True,2024-02-26T10:44:38
KH000053,UNIQUE0000053,Dang Tuyet Han,0932860204,đang.tuyet.han578@customer.tgdd.vn,Da Lat,Lam Dong,Central Highlands,VIP,False,2024-02-25T10:44:38
KH000054,UNIQUE0000054,Ha Diem Ngoc,0943895348,ha.diem.ngoc416@customer.tgdd.vn,Hue,Thua Thien Hue,Central,Platinum,True,2023-08-27T10:44:38
KH000055,UNIQUE0000055,Vu Anh Chuong,0979816173,vu.anh.chuong975@customer.tgdd.vn,Dong Hoi,Quang Binh,North,Silver,True,2023-03-25T10:44:38
KH000056,UNIQUE0000056,Doan Ngan My,0946705816,đoan.ngan.my020@customer.tgdd.vn,Dong Hoi,Quang Binh,North,Silver,True,2024-05-29T10:44:38
KH000057,UNIQUE0000057,Cao Xuan Dung,0932066371,cao.xuan.dung157@customer.tgdd.vn,Thu Dau Mot,Binh Duong,South,Gold,False,2024-02-07T10:44:38
KH000058,UNIQUE0000058,Truong Quynh Oanh,0931848103,truong.quynh.oanh218@customer.tgdd.vn,Phan Thiet,Binh Thuan,Central,Silver,True,2025-04-21T10:44:38
KH000059,UNIQUE0000059,Dang Phuc Phuc,0921835435,đang.phuc.phuc082@customer.tgdd.vn,Da Lat,Lam Dong,Central Highlands,Silver,True,2025-01-10T10:44:38
KH000060,UNIQUE0000060,Dang Hao Manh,0968709137,đang.hao.manh459@customer.tgdd.vn,Quang Ninh,Quang Ninh,North,Gold,False,2024-02-01T10:44:38
KH000061,UNIQUE0000061,Vu Kim Nga,0978959569,vu.kim.nga739@customer.tgdd.vn,Hai Phong,Hai Phong,North,Gold,True,2024-08-27T10:44:38
KH000062,UNIQUE0000062,Thoi Long Phi,0942111829,thoi.long.phi527@customer.tgdd.vn,Tuy Hoa,Phu Yen,Central,Silver,True,2025-03-12T10:44:38
KH000063,UNIQUE0000063,Vi Loc Tung,0982380011,vi.loc.tung165@customer.tgdd.vn,Long Xuyen,An Giang,South,Diamond,False,2023-07-10T10:44:38
KH000064,UNIQUE0000064,Phan Hai Khiem,0914506299,phan.hai.khiem470@customer.tgdd.vn,Thu Dau Mot,Binh Duong,South,Diamond,True,2025-03-31T10:44:38
KH000065,UNIQUE0000065,Cao Thuy Quynh,0932437768,cao.thuy.quynh146@customer.tgdd.vn,Can Tho,Can Tho,South,Gold,True,2022-12-21T10:44:38
KH000066,UNIQUE0000066,Vi Quan Binh,0976358409,vi.quan.binh450@customer.tgdd.vn,Thai Nguyen,Thai Nguyen,North,Platinum,True,2024-05-08T10:44:38
KH000067,UNIQUE0000067,Chu Nhat Kien,0992205043,chu.nhat.kien331@customer.tgdd.vn,Rach Gia,Kien Giang,South,Silver,True,2024-09-09T10:44:38
KH000068,UNIQUE0000068,Yen Kim Tu,0910253415,yen.kim.tu701@customer.tgdd.vn,Thu Dau Mot,Binh Duong,South,Diamond,True,2025-01-13T10:44:38
KH000069,UNIQUE0000069,Dinh Huong Thu,0943499813,đinh.huong.thu792@customer.tgdd.vn,Dong Hoi,Quang Binh,North,Silver,True,2024-08-08T10:44:38
KH000070,UNIQUE0000070,Quach Thien Khoa,0966858005,quach.thien.khoa482@customer.tgdd.vn,Da Nang,Da Nang,Central,Gold,True,2025-06-27T10:44:38
KH000071,UNIQUE0000071,Kim Tung Thien,0961610584,kim.tung.thien215@customer.tgdd.vn,Bien Hoa,Dong Nai,South,Gold,True,2022-12-11T10:44:38
KH000072,UNIQUE0000072,Ho Giang Bi,0933455822,ho.giang.bi106@customer.tgdd.vn,Dong Hoi,Quang Binh,North,Platinum,True,2025-04-06T10:44:38
KH000073,UNIQUE0000073,Ngo Manh Vinh,0979275359,ngo.manh.vinh517@customer.tgdd.vn,Bien Hoa,Dong Nai,South,Silver,True,2025-05-15T10:44:38
KH000074,UNIQUE0000074,Tran Quyen Mai,0994981010,tran.quyen.mai737@customer.tgdd.vn,Tam Ky,Quang Nam,Central,Gold,True,2024-10-23T10:44:38
KH000075,UNIQUE0000075,Ha Thao Xuan,0931047172,ha.thao.xuan503@customer.tgdd.vn,Can Tho,Can Tho,South,Silver,True,2025-11-11T10:44:38
KH000076,UNIQUE0000076,Vu Hoai Nhi,0987170508,vu.hoai.nhi386@customer.tgdd.vn,Can Tho,Can Tho,South,Gold,False,2024-03-03T10:44:38
KH000077,UNIQUE0000077,Cao The Nam,0965308882,cao.the.nam438@customer.tgdd.vn,Phan Thiet,Binh Thuan,Central,Silver,True,2025-04-05T10:44:38
KH000078,UNIQUE0000078,Hoang Xuan Gia,0963316356,hoang.xuan.gia931@customer.tgdd.vn,Long Xuyen,An Giang,South,Silver,True,2024-05-30T10:44:38
KH000079,UNIQUE0000079,Doan Hung Chien,0924987187,đoan.hung.chien229@customer.tgdd.vn,Nam Dinh,Nam Dinh,North,Gold,True,2023-02-03T10:44:38
KH000080,UNIQUE0000080,Trieu Tuyet Ngoc,0925685942,trieu.tuyet.ngoc556@customer.tgdd.vn,Vinh,Nghe An,North,Gold,True,2024-09-08T10:44:38
KH000081,UNIQUE0000081,Kim Cuong Yen,0950446147,kim.cuong.yen576@customer.tgdd.vn,Hue,Thua Thien Hue,Central,Gold,True,2023-11-17T10:44:38
KH000082,UNIQUE0000082,Dang Linh Mai,0977198474,đang.linh.mai960@customer.tgdd.vn,Quy Nhon,Binh Dinh,Central,Silver,False,2023-10-07T10:44:38
KH000083,UNIQUE0000083,Nguyen Diem Quyen,0961127600,nguyen.diem.quyen993@customer.tgdd.vn,Thu Dau Mot,Binh Duong,South,Silver,True,2023-07-16T10:44:38
KH000084,UNIQUE0000084,Thai Minh Thien,0983403491,thai.minh.thien182@customer.tgdd.vn,Hue,Thua Thien Hue,Central,Silver,True,2023-10-19T10:44:38
KH000085,UNIQUE0000085,Ho Thu Hien,0946651620,ho.thu.hien484@customer.tgdd.vn,Hanoi,Hanoi,North,Silver,True,2024-02-06T10:44:38
KH000086,UNIQUE0000086,Trinh Hao Tuan,0953074640,trinh.hao.tuan722@customer.tgdd.vn,Ho Chi Minh City,HCMC,South,Platinum,True,2025-09-02T10:44:38
KH000087,UNIQUE0000087,Vo Quyen An,0914478015,vo.quyen.an938@customer.tgdd.vn,Vung Tau,Ba Ria-Vung Tau,South,Silver,True,2025-10-16T10:44:38
KH000088,UNIQUE0000088,Yen Tung Tan,0988550235,yen.tung.tan527@customer.tgdd.vn,Long Xuyen,An Giang,South,Silver,True,2025-11-07T10:44:38
KH000089,UNIQUE0000089,Ly Cuong Phuc,0961087333,ly.cuong.phuc729@customer.tgdd.vn,Thanh Hoa,Thanh Hoa,North,Gold,True,2025-03-02T10:44:38
KH000090,UNIQUE0000090,Thoi Ngan Hien,0938038853,thoi.ngan.hien834@customer.tgdd.vn,Da Lat,Lam Dong,Central Highlands,Platinum,True,2024-05-31T10:44:38
KH000091,UNIQUE0000091,Lam Quynh Giang,0934359163,lam.quynh.giang831@customer.tgdd.vn,Nha Trang,Khanh Hoa,Central,Platinum,True,2023-09-22T10:44:38
KH000092,UNIQUE0000092,To Phuong Ai,0923834057,to.phuong.ai889@customer.tgdd.vn,Can Tho,Can Tho,South,Gold,True,2023-05-16T10:44:38
KH000093,UNIQUE0000093,Bui Chi Nghi,0930701845,bui.chi.nghi678@customer.tgdd.vn,Dong Ha,Quang Tri,Central,Gold,False,2025-03-17T10:44:38
KH000094,UNIQUE0000094,Nguyen Tung Vinh,0993186060,nguyen.tung.vinh648@customer.tgdd.vn,Nha Trang,Khanh Hoa,Central,VIP,True,2024-08-22T10:44:38
KH000095,UNIQUE0000095,Trieu Thuy Vy,0933009836,trieu.thuy.vy730@customer.tgdd.vn,Quy Nhon,Binh Dinh,Central,Platinum,True,2025-01-21T10:44:38
KH000096,UNIQUE0000096,Chu Cuong Thang,0947867941,chu.cuong.thang413@customer.tgdd.vn,Quy Nhon,Binh Dinh,Central,Silver,True,2024-12-02T10:44:38
KH000097,UNIQUE0000097,Dang Thi Sao,0964057822,đang.thi.sao455@customer.tgdd.vn,Vung Tau,Ba Ria-Vung Tau,South,Gold,True,2024-03-05T10:44:38
KH000098,UNIQUE0000098,Hoang Duyen Quyen,0953716296,hoang.duyen.quyen849@customer.tgdd.vn,Vinh,Nghe An,North,Gold,True,2024-07-29T10:44:38
KH000099,UNIQUE0000099,Quach Thien An,0938255874,quach.thien.an241@customer.tgdd.vn,Thai Nguyen,Thai Nguyen,North,Silver,True,2023-11-29T10:44:38
KH000100,UNIQUE0000100,Dang Vy Giang,0928218525,đang.vy.giang489@customer.tgdd.vn,Tam Ky,Quang Nam,Central,Gold,True,2024-07-27T10:44:38
KH000101,UNIQUE0000101,Chu The Quan,0926231520,chu.the.quan331@customer.tgdd.vn,Vung Tau,Ba Ria-Vung Tau,South,Gold,False,2024-09-02T10:44:38
KH000102,UNIQUE0000102,Trinh Yen Ngoc,0962581258,trinh.yen.ngoc107@customer.tgdd.vn,Nam Dinh,Nam Dinh,North,Silver,True,2023-09-28T10:44:38
KH000103,UNIQUE0000103,Ngo Long Quan,0933863914,ngo.long.quan637@customer.tgdd.vn,Dong Hoi,Quang Binh,North,Silver,True,2025-08-14T10:44:38
KH000104,UNIQUE0000104,Kim Duy Strong,0941190685,kim.duy.strong241@customer.tgdd.vn,Thai Nguyen,Thai Nguyen,North,Silver,True,2025-07-13T10:44:38
KH000105,UNIQUE0000105,Ton Tuyet Lam,0926593646,ton.tuyet.lam987@customer.tgdd.vn,Tuy Hoa,Phu Yen,Central,Platinum,True,2025-02-24T10:44:38
KH000106,UNIQUE0000106,Do Manh Hieu,0971430569,đo.manh.hieu480@customer.tgdd.vn,Nha Trang,Khanh Hoa,Central,Silver,True,2024-11-05T10:44:38
KH000107,UNIQUE0000107,Vu Phuong Quynh,0919978001,vu.phuong.quynh851@customer.tgdd.vn,Nam Dinh,Nam Dinh,North,Platinum,False,2023-07-15T10:44:38
KH000108,UNIQUE0000108,To Oanh Trang,0973893331,to.oanh.trang232@customer.tgdd.vn,Buon Ma Thuot,Dak Lak,Central Highlands,Gold,False,2023-08-13T10:44:38
KH000109,UNIQUE0000109,Kim Kim Tuong,0992046552,kim.kim.tuong966@customer.tgdd.vn,Rach Gia,Kien Giang,South,Gold,False,2024-01-11T10:44:38
KH000110,UNIQUE0000110,Kieu Quyen Dung,0957691913,kieu.quyen.dung505@customer.tgdd.vn,Ho Chi Minh City,HCMC,South,Silver,False,2025-09-06T10:44:38
KH000111,UNIQUE0000111,Ly Van Dat,0964280099,ly.van.đat166@customer.tgdd.vn,Pleiku,Gia Lai,Central Highlands,Gold,True,2022-12-05T10:44:38
KH000112,UNIQUE0000112,Thoi Kiet Nam,0946571556,thoi.kiet.nam607@customer.tgdd.vn,Vung Tau,Ba Ria-Vung Tau,South,Silver,True,2023-04-20T10:44:38
KH000113,UNIQUE0000113,Vo Quyen Vy,0991326146,vo.quyen.vy197@customer.tgdd.vn,Hanoi,Hanoi,North,Silver,True,2023-12-07T10:44:38
KH000114,UNIQUE0000114,Do Thuy Linh,0981567119,đo.thuy.linh674@customer.tgdd.vn,Hue,Thua Thien Hue,Central,VIP,True,2023-02-08T10:44:38
KH000115,UNIQUE0000115,Yen Lan Hoa,0975819346,yen.lan.hoa898@customer.tgdd.vn,Da Nang,Da Nang,Central,Platinum,False,2024-06-15T10:44:38
KH000116,UNIQUE0000116,Le Anh Strong,0920347201,le.anh.strong086@customer.tgdd.vn,Nha Trang,Khanh Hoa,Central,Silver,True,2023-12-18T10:44:38
KH000117,UNIQUE0000117,Cao Van Hieu,0986536358,cao.van.hieu101@customer.tgdd.vn,Long Xuyen,An Giang,South,Silver,True,2023-02-07T10:44:38
KH000118,UNIQUE0000118,Doan Hoang Son,0994088716,đoan.hoang.son321@customer.tgdd.vn,Dong Hoi,Quang Binh,North,Gold,True,2024-12-13T10:44:38
KH000119,UNIQUE0000119,Luu Anh Tuyen,0958885483,luu.anh.tuyen315@customer.tgdd.vn,Hanoi,Hanoi,North,Silver,True,2025-07-27T10:44:38
KH000120,UNIQUE0000120,Trieu Thanh Nhi,0932437280,trieu.thanh.nhi633@customer.tgdd.vn,Ho Chi Minh City,HCMC,South,Platinum,True,2025-07-23T10:44:38
KH000121,UNIQUE0000121,Dinh Phuong My,0964810268,đinh.phuong.my786@customer.tgdd.vn,Rach Gia,Kien Giang,South,Platinum,False,2025-06-27T10:44:38
KH000122,UNIQUE0000122,Bui Quyen Hong,0918227674,bui.quyen.hong495@customer.tgdd.vn,Vinh,Nghe An,North,Gold,True,2024-01-16T10:44:38
KH000123,UNIQUE0000123,Ha Quan Tri,0955136712,ha.quan.tri623@customer.tgdd.vn,Nha Trang,Khanh Hoa,Central,Silver,False,2024-01-15T10:44:38
KH000124,UNIQUE0000124,Ha Nam Khoa,0916084756,ha.nam.khoa734@customer.tgdd.vn,Dong Ha,Quang Tri,Central,Silver,False,2025-03-18T10:44:38
KH000125,UNIQUE0000125,Luu Long Bao,0919863838,luu.long.bao096@customer.tgdd.vn,Hue,Thua Thien Hue,Central,Silver,True,2025-04-27T10:44:38
KH000126,UNIQUE0000126,Vu Giang Chinh,0949285123,vu.giang.chinh218@customer.tgdd.vn,Dong Ha,Quang Tri,Central,Silver,True,2024-04-28T10:44:38
KH000127,UNIQUE0000127,Thoi My Chinh,0933647688,thoi.my.chinh438@customer.tgdd.vn,Quang Ninh,Quang Ninh,North,Platinum,True,2024-01-09T10:44:38
KH000128,UNIQUE0000128,Ton Thanh Tam,0953456947,ton.thanh.tam076@customer.tgdd.vn,Long Xuyen,An Giang,South,Silver,False,2023-03-08T10:44:38
KH000129,UNIQUE0000129,Chu Thanh Yen,0998268155,chu.thanh.yen756@customer.tgdd.vn,Bien Hoa,Dong Nai,South,Gold,True,2024-03-18T10:44:38
KH000130,UNIQUE0000130,Vo Kim Linh,0951108991,vo.kim.linh866@customer.tgdd.vn,Pleiku,Gia Lai,Central Highlands,Silver,True,2023-08-07T10:44:38
KH000131,UNIQUE0000131,Kim Huong Anh,0985769876,kim.huong.anh020@customer.tgdd.vn,Thu Dau Mot,Binh Duong,South,Diamond,True,2023-06-19T10:44:38
KH000132,UNIQUE0000132,Yen Anh Tri,0946041664,yen.anh.tri330@customer.tgdd.vn,Nam Dinh,Nam Dinh,North,Gold,True,2022-12-16T10:44:38
KH000133,UNIQUE0000133,Ha Dinh Khang,0986469775,ha.đinh.khang844@customer.tgdd.vn,Dong Ha,Quang Tri,Central,Gold,False,2022-12-07T10:44:38
KH000134,UNIQUE0000134,Bui Xuan Son,0933919169,bui.xuan.son361@customer.tgdd.vn,Quy Nhon,Binh Dinh,Central,Gold,True,2025-10-19T10:44:38
KH000135,UNIQUE0000135,Doan Ngoc Xuan,0918384035,đoan.ngoc.xuan374@customer.tgdd.vn,Vung Tau,Ba Ria-Vung Tau,South,Gold,True,2025-10-15T10:44:38
KH000136,UNIQUE0000136,Dang Chi Linh,0958904089,đang.chi.linh622@customer.tgdd.vn,Vinh,Nghe An,North,Platinum,False,2025-06-18T10:44:38
KH000137,UNIQUE0000137,Trieu Thanh Nhi,0945206406,trieu.thanh.nhi593@customer.tgdd.vn,Quy Nhon,Binh Dinh,Central,Platinum,True,2025-09-11T10:44:38
KH000138,UNIQUE0000138,Pham Manh Thang,0997541816,pham.manh.thang563@customer.tgdd.vn,Vung Tau,Ba Ria-Vung Tau,South,Gold,False,2024-01-09T10:44:38
KH000139,UNIQUE0000139,Hoang Phuong Phuong,0991966081,hoang.phuong.phuong317@customer.tgdd.vn,Phan Thiet,Binh Thuan,Central,Silver,True,2023-06-09T10:44:38
KH000140,UNIQUE0000140,Trinh Dinh Kien,0938400520,trinh.đinh.kien831@customer.tgdd.vn,Vinh,Nghe An,North,Silver,True,2025-07-16T10:44:38
KH000141,UNIQUE0000141,Ung Nam Quoc,0939965948,ung.nam.quoc744@customer.tgdd.vn,Hai Phong,Hai Phong,North,Silver,True,2024-11-10T10:44:38
KH000142,UNIQUE0000142,Ngo Dinh Luan,0955628451,ngo.đinh.luan147@customer.tgdd.vn,Quang Ninh,Quang Ninh,North,Silver,True,2025-02-11T10:44:38
KH000143,UNIQUE0000143,Duong Hoang Duc,0919289833,duong.hoang.đuc106@customer.tgdd.vn,Dong Ha,Quang Tri,Central,Gold,True,2025-09-26T10:44:38
KH000144,UNIQUE0000144,Vu Phuc Tam,0962198118,vu.phuc.tam490@customer.tgdd.vn,Vung Tau,Ba Ria-Vung Tau,South,Silver,True,2025-01-18T10:44:38
KH000145,UNIQUE0000145,Trieu Duyen Trinh,0956835642,trieu.duyen.trinh943@customer.tgdd.vn,Ha Tinh,Ha Tinh,North,Silver,False,2023-07-26T10:44:38
KH000146,UNIQUE0000146,Vu Tuyet Quynh,0941702296,vu.tuyet.quynh942@customer.tgdd.vn,Da Lat,Lam Dong,Central Highlands,Silver,True,2025-06-25T10:44:38
KH000147,UNIQUE0000147,Luu Linh Dung,0971262784,luu.linh.dung403@customer.tgdd.vn,Tuy Hoa,Phu Yen,Central,Gold,True,2023-05-02T10:44:38
KH000148,UNIQUE0000148,Cao Nam Hieu,0956198328,cao.nam.hieu748@customer.tgdd.vn,Ha Tinh,Ha Tinh,North,Silver,False,2025-10-23T10:44:38
KH000149,UNIQUE0000149,Yen Phuc Giau,0947623911,yen.phuc.giau598@customer.tgdd.vn,Bien Hoa,Dong Nai,South,Silver,True,2025-02-18T10:44:38
KH000150,UNIQUE0000150,Ton Ha Thu,0924036681,ton.ha.thu255@customer.tgdd.vn,Long Xuyen,An Giang,South,Gold,False,2025-10-17T10:44:38
KH000151,UNIQUE0000151,Ngo Thanh Trang,0921980970,ngo.thanh.trang854@customer.tgdd.vn,Hue,Thua Thien Hue,Central,Silver,True,2024-03-17T10:44:38
KH000152,UNIQUE0000152,Kieu Phong Strong,0912943401,kieu.phong.strong491@customer.tgdd.vn,Da Nang,Da Nang,Central,Silver,True,2023-06-11T10:44:38
KH000153,UNIQUE0000153,Trieu Thuy Yen,0981169439,trieu.thuy.yen999@customer.tgdd.vn,Long Xuyen,An Giang,South,VIP,True,2024-06-02T10:44:38
KH000154,UNIQUE0000154,Nguyen Huong My,0971594450,nguyen.huong.my611@customer.tgdd.vn,Vung Tau,Ba Ria-Vung Tau,South,Platinum,True,2024-01-31T10:44:38
KH000155,UNIQUE0000155,Thai Hoai Nghi,0937899550,thai.hoai.nghi992@customer.tgdd.vn,Da Nang,Da Nang,Central,Diamond,True,2025-04-17T10:44:38
