seller_id,seller_name,seller_email,seller_phone,seller_zip_code_prefix,seller_city,seller_state
seller_025,Lam Le Han,lam.le.han558@thegioididong.com,093173867,100806,Hanoi,Hanoi
seller_026,Nguyen Giang Loan,nguyen.giang.loan641@thegioididong.com,095163004,628234,Bien Hoa,Dong Nai
seller_027,Dinh Le Hoa,đinh.le.hoa383@thegioididong.com,091137412,151737,Tuy Hoa,Phu Yen
seller_028,Ho Loc Nam,ho.loc.nam889@thegioididong.com,098211851,743155,Ho Chi Minh City,HCMC
seller_029,Ha Xuan Trinh,ha.xuan.trinh060@thegioididong.com,096543748,588558,Can Tho,Can Tho
seller_030,Bui Chi Tu,bui.chi.tu316@thegioididong.com,093324838,316077,Vinh,Nghe An
seller_031,Ha Son Tung,ha.son.tung817@thegioididong.com,093761446,795522,Dong Ha,Quang Tri
seller_032,Nguyen Thanh My,nguyen.thanh.my234@thegioididong.com,095809291,947797,Nam Dinh,Nam Dinh
seller_033,Tran Duy Tung,tran.duy.tung840@thegioididong.com,094214402,320830,Tam Ky,Quang Nam
seller_034,Kim Kiet Truong,kim.kiet.truong596@thegioididong.com,096977066,105636,Ha Tinh,Ha Tinh
seller_035,Pham Long Thai,pham.long.thai483@thegioididong.com,099018677,377921,Vung Tau,Ba Ria-Vung Tau
seller_036,Tran Phuong Linh,tran.phuong.linh670@thegioididong.com,099843264,834688,Quang Ninh,Quang Ninh
seller_037,Phan Phuc Tai,phan.phuc.tai307@thegioididong.com,097460434,786727,Phan Thiet,Binh Thuan
seller_038,Lam Kim Nhi,lam.kim.nhi374@thegioididong.com,093397402,611033,Tam Ky,Quang Nam
seller_039,Nguyen Xuan Mai,nguyen.xuan.mai035@thegioididong.com,096710202,310245,Long Xuyen,An Giang
seller_040,Cao Duy Khoa,cao.duy.khoa590@thegioididong.com,093627217,713334,Ho Chi Minh City,HCMC
seller_041,Kim Hoang Duc,kim.hoang.đuc895@thegioididong.com,096280746,306986,Can Tho,Can Tho
seller_042,Vo Le Nga,vo.le.nga712@thegioididong.com,099570363,801697,Pleiku,Gia Lai
seller_043,Ong Chi Ha,ong.chi.ha673@thegioididong.com,096956195,509638,Vinh,Nghe An
seller_044,Chu Manh Dat,chu.manh.đat789@thegioididong.com,094535992,908243,Nam Dinh,Nam Dinh
seller_045,Ha Minh Tai,ha.minh.tai950@thegioididong.com,092126771,542279,Rach Gia,Kien Giang
seller_046,Luu Diem Nhu,luu.diem.nhu495@thegioididong.com,094956312,745026,Thai Nguyen,Thai Nguyen
seller_047,Phan Hoai Gia,phan.hoai.gia171@thegioididong.com,096991348,769038,Da Lat,Lam Dong
seller_048,Vu Tuyet Chinh,vu.tuyet.chinh256@thegioididong.com,097918997,911506,Ha Tinh,Ha Tinh
seller_049,Ho Yen Phong,ho.yen.phong411@thegioididong.com,092218514,770710,Dong Hoi,Quang Binh
seller_050,Do Hung Dai,đo.hung.đai350@thegioididong.com,094510394,628205,Rach Gia,Kien Giang
seller_051,Tran Duyen Trang,tran.duyen.trang793@thegioididong.com,092487855,753792,Bien Hoa,Dong Nai
seller_052,Dang Hoang Long,đang.hoang.long872@thegioididong.com,095885166,624511,Tuy Hoa,Phu Yen
seller_053,Hoang Phong Linh,hoang.phong.linh471@thegioididong.com,098637322,143012,Nha Trang,Khanh Hoa
seller_054,Hoang Quynh Loan,hoang.quynh.loan547@thegioididong.com,099427734,289852,Thu Dau Mot,Binh Duong
seller_055,Ton Kiet Vu,ton.kiet.vu551@thegioididong.com,092945422,105805,Phan Thiet,Binh Thuan
seller_056,Trieu Quoc Quyet,trieu.quoc.quyet680@thegioididong.com,093352295,378542,Tam Ky,Quang Nam
seller_057,Ha Hung Phong,ha.hung.phong158@thegioididong.com,092660551,757334,Dong Hoi,Quang Binh
seller_058,Ngo Diem Ai,ngo.diem.ai011@thegioididong.com,095902337,801568,Vinh,Nghe An
seller_059,Hoang Quoc Khang,hoang.quoc.khang352@thegioididong.com,096511917,413330,Phan Thiet,Binh Thuan
seller_060,Luu Lan Giang,luu.lan.giang256@thegioididong.com,092293445,796319,Ho Chi Minh City,HCMC
seller_061,Nguyen Yen Loan,nguyen.yen.loan159@thegioididong.com,099961731,702605,Ho Chi Minh City,HCMC
seller_062,Tran Trung Thien,tran.trung.thien793@thegioididong.com,095889545,770780,Can Tho,Can Tho
seller_063,Ung Hung Quyet,ung.hung.quyet992@thegioididong.com,095404749,444891,Buon Ma Thuot,Dak Lak
seller_064,Ton Anh Thuy,ton.anh.thuy773@thegioididong.com,099317710,798370,Pleiku,Gia Lai
seller_065,Thai Kiet Long,thai.kiet.long315@thegioididong.com,099544805,845401,Long Xuyen,An Giang
seller_066,Ngo Minh Tam,ngo.minh.tam005@thegioididong.com,096445888,614141,Da Lat,Lam Dong
seller_067,Ung Tung Tu,ung.tung.tu366@thegioididong.com,097893094,537946,Hue,Thua Thien Hue
seller_068,Luu Thanh Xuan,luu.thanh.xuan848@thegioididong.com,098946759,823633,Da Nang,Da Nang
seller_069,Ly Minh Bao,ly.minh.bao726@thegioididong.com,095201822,362840,Pleiku,Gia Lai
seller_070,Ngo Ngan Linh,ngo.ngan.linh402@thegioididong.com,095770028,796747,Ho Chi Minh City,HCMC
seller_071,Le Gia Nghia,le.gia.nghia551@thegioididong.com,091254178,535417,Rach Gia,Kien Giang
seller_072,Ho Thi Xuan,ho.thi.xuan099@thegioididong.com,098411184,319223,Can Tho,Can Tho
seller_073,Trinh Giang Ngoc,trinh.giang.ngoc830@thegioididong.com,095705908,990872,Tuy Hoa,Phu Yen
seller_074,Chu Quan Toan,chu.quan.toan602@thegioididong.com,095372074,190969,Da Nang,Da Nang
seller_075,Pham Xuan Han,pham.xuan.han032@thegioididong.com,096798526,144474,Da Lat,Lam Dong
seller_076,Luu Xuan Tuan,luu.xuan.tuan271@thegioididong.com,098576104,593420,Ha Tinh,Ha Tinh
seller_077,Hoang Hao Hieu,hoang.hao.hieu140@thegioididong.com,096334172,115583,Hai Phong,Hai Phong
seller_078,Nguyen Kiet Thai,nguyen.kiet.thai382@thegioididong.com,092991838,671037,Vung Tau,Ba Ria-Vung Tau
seller_079,Cao Hao Thinh,cao.hao.thinh514@thegioididong.com,098664431,539701,Quy Nhon,Binh Dinh
seller_080,Trieu Nam Nghia,trieu.nam.nghia566@thegioididong.com,097441246,952832,Buon Ma Thuot,Dak Lak
seller_081,Truong Long Vu,truong.long.vu949@thegioididong.com,092150737,828807,Tuy Hoa,Phu Yen
seller_082,To Trang Cuc,to.trang.cuc452@thegioididong.com,093210592,462155,Pleiku,Gia Lai
seller_083,Ho Son Giau,ho.son.giau270@thegioididong.com,093925846,351264,Quang Ninh,Quang Ninh
seller_084,Chu Diem Trang,chu.diem.trang394@thegioididong.com,093414273,801648,Nha Trang,Khanh Hoa
seller_085,Le Ha Tuong,le.ha.tuong191@thegioididong.com,096779062,193248,Thu Dau Mot,Binh Duong
seller_086,Mai Huu An,mai.huu.an024@thegioididong.com,094931910,152764,Hue,Thua Thien Hue
seller_087,Le Le Yen,le.le.yen403@thegioididong.com,092340362,730921,Pleiku,Gia Lai
seller_088,Tran Phuong Diem,tran.phuong.diem122@thegioididong.com,094014783,176689,Vinh,Nghe An
seller_089,Dinh Xuan Sang,đinh.xuan.sang026@thegioididong.com,095303834,559850,Nam Dinh,Nam Dinh
seller_090,Kim Xuan Nhi,kim.xuan.nhi398@thegioididong.com,099044795,385176,Buon Ma Thuot,Dak Lak
seller_091,To Giang Tu,to.giang.tu106@thegioididong.com,098075164,491157,Quang Ninh,Quang Ninh
seller_092,Ton Nhat Strong,ton.nhat.strong914@thegioididong.com,094443636,444504,Quy Nhon,Binh Dinh
seller_093,Ly Le Thuy,ly.le.thuy362@thegioididong.com,091278876,945580,Phan Thiet,Binh Thuan
seller_094,Ton Hao Quan,ton.hao.quan213@thegioididong.com,095918671,983110,Da Lat,Lam Dong
seller_095,Le Tung Hieu,le.tung.hieu831@thegioididong.com,096421416,900506,Can Tho,Can Tho
seller_096,Truong Nam Quoc,truong.nam.quoc906@thegioididong.com,096837069,254874,Vinh,Nghe An
seller_097,Bui Phuc Nam,bui.phuc.nam018@thegioididong.com,099336454,244350,Tam Ky,Quang Nam
seller_098,Hoang Phong Duc,hoang.phong.đuc800@thegioididong.com,091840863,969117,Tam Ky,Quang Nam
seller_099,Nguyen Giang Tuyen,nguyen.giang.tuyen268@thegioididong.com,094066640,155905,Tuy Hoa,Phu Yen
seller_100,Dang Chi Huong,đang.chi.huong391@thegioididong.com,098345235,478704,Nam Dinh,Nam Dinh
seller_101,Do Van Kien,đo.van.kien142@thegioididong.com,096522899,774544,Ho Chi Minh City,HCMC
seller_102,Pham Thu Hong,pham.thu.hong849@thegioididong.com,094573801,285698,Rach Gia,Kien Giang
seller_103,Thoi Quyen Tuong,thoi.quyen.tuong470@thegioididong.com,092826027,338114,Thu Dau Mot,Binh Duong
seller_104,Dang Trang Hong,đang.trang.hong335@thegioididong.com,097964400,912879,Thai Nguyen,Thai Nguyen
seller_105,Ly Duy Bao,ly.duy.bao607@thegioididong.com,095989640,687561,Thai Nguyen,Thai Nguyen
seller_106,Vi Duyen Trinh,vi.duyen.trinh730@thegioididong.com,098389951,787714,Dong Ha,Quang Tri
seller_107,Ly Giang Anh,ly.giang.anh694@thegioididong.com,091149574,257523,Pleiku,Gia Lai
seller_108,Phan The Tai,phan.the.tai924@thegioididong.com,098486687,826731,Nam Dinh,Nam Dinh
seller_109,Duong Quyen Chi,duong.quyen.chi413@thegioididong.com,095206054,989179,Vung Tau,Ba Ria-Vung Tau
seller_110,Vi Yen Tuyen,vi.yen.tuyen631@thegioididong.com,095825010,904554,Thanh Hoa,Thanh Hoa
seller_111,Dang Loc Giau,đang.loc.giau967@thegioididong.com,093941653,707145,Ho Chi Minh City,HCMC
seller_112,Tran Hao Nghia,tran.hao.nghia552@thegioididong.com,092048765,714607,Ho Chi Minh City,HCMC
seller_113,Kim Duy Truong,kim.duy.truong502@thegioididong.com,095218884,777207,Da Nang,Da Nang
seller_114,Ong Dinh Phi,ong.đinh.phi771@thegioididong.com,093746872,484475,Dong Ha,Quang Tri
seller_115,To Nam Quyet,to.nam.quyet628@thegioididong.com,099758004,921029,Long Xuyen,An Giang
seller_116,Ho Huu Hoai,ho.huu.hoai915@thegioididong.com,091392605,654874,Buon Ma Thuot,Dak Lak
seller_117,Quach Xuan Hung,quach.xuan.hung484@thegioididong.com,096757247,564508,Pleiku,Gia Lai
seller_118,Vo My Trinh,vo.my.trinh136@thegioididong.com,091821963,459633,Long Xuyen,An Giang
seller_119,Ha Duy Thinh,ha.duy.thinh056@thegioididong.com,095747182,465514,Nam Dinh,Nam Dinh
seller_120,Kim Hoang Dung,kim.hoang.dung775@thegioididong.com,092604085,413495,Nha Trang,Khanh Hoa
seller_121,Lam Le Sao,lam.le.sao234@thegioididong.com,092459969,499768,Ha Tinh,Ha Tinh
seller_122,Ha Oanh Xuan,ha.oanh.xuan202@thegioididong.com,094911089,314858,Can Tho,Can Tho
seller_123,Phan The Nam,phan.the.nam775@thegioididong.com,091758224,103336,Buon Ma Thuot,Dak Lak
seller_124,Dang Ngan Lam,đang.ngan.lam100@thegioididong.com,096984533,136670,Hanoi,Hanoi
seller_125,Kieu Hoang Thang,kieu.hoang.thang717@thegioididong.com,096856433,145580,Nha Trang,Khanh Hoa
seller_126,Do Hai Tung,đo.hai.tung674@thegioididong.com,093251954,574230,Phan Thiet,Binh Thuan
seller_127,Truong Huu Thinh,truong.huu.thinh520@thegioididong.com,092157859,370529,Da Nang,Da Nang
seller_128,Doan Thu Tuong,đoan.thu.tuong221@thegioididong.com,096488033,378626,Nam Dinh,Nam Dinh
seller_129,Yen Xuan Oanh,yen.xuan.oanh966@thegioididong.com,091217914,659664,Pleiku,Gia Lai
seller_130,Ong Hao Long,ong.hao.long019@thegioididong.com,097288252,656203,Tam Ky,Quang Nam
seller_131,Quach Quoc Strong,quach.quoc.strong835@thegioididong.com,093045906,156698,Buon Ma Thuot,Dak Lak
seller_132,Trinh Hai Khang,trinh.hai.khang173@thegioididong.com,093166811,164993,Hanoi,Hanoi
seller_133,Bui Long Tu,bui.long.tu495@thegioididong.com,099576906,306921,Quy Nhon,Binh Dinh
seller_134,Chu Phong Hao,chu.phong.hao351@thegioididong.com,093738503,940329,Thanh Hoa,Thanh Hoa
seller_135,Trieu Loc An,trieu.loc.an114@thegioididong.com,099921954,480608,Vinh,Nghe An
seller_136,Doan Yen Nhu,đoan.yen.nhu427@thegioididong.com,091203028,726001,Ho Chi Minh City,HCMC
seller_137,Dinh Hoai Giang,đinh.hoai.giang499@thegioididong.com,098266254,854889,Nha Trang,Khanh Hoa
seller_138,Ung Van Vu,ung.van.vu893@thegioididong.com,096679131,499001,Long Xuyen,An Giang
seller_139,Lam Lan Ai,lam.lan.ai804@thegioididong.com,093734602,751946,Ho Chi Minh City,HCMC
seller_140,Do Quan Thai,đo.quan.thai958@thegioididong.com,098619136,841654,Thai Nguyen,Thai Nguyen
seller_141,Bui Cuong Tan,bui.cuong.tan622@thegioididong.com,098252499,421041,Da Lat,Lam Dong
seller_142,Ngo Hoang Tien,ngo.hoang.tien998@thegioididong.com,094504159,161998,Hanoi,Hanoi
seller_143,Yen Loc Thanh,yen.loc.thanh958@thegioididong.com,094475577,158521,Buon Ma Thuot,Dak Lak
seller_144,Vi Anh Lan,vi.anh.lan452@thegioididong.com,093850921,941273,Long Xuyen,An Giang
seller_145,Nguyen Xuan Giau,nguyen.xuan.giau781@thegioididong.com,095485152,709225,Nha Trang,Khanh Hoa
seller_146,Cao Duyen Ly,cao.duyen.ly701@thegioididong.com,091879302,274298,Thai Nguyen,Thai Nguyen
seller_147,Bui Duyen Phong,bui.duyen.phong644@thegioididong.com,092173415,438132,Hue,Thua Thien Hue
seller_148,Vi Le Trang,vi.le.trang303@thegioididong.com,095306566,179668,Thai Nguyen,Thai Nguyen
seller_149,Yen Manh Hieu,yen.manh.hieu331@thegioididong.com,093543511,274821,Hue,Thua Thien Hue
seller_150,Truong Kiet Binh,truong.kiet.binh843@thegioididong.com,093848905,807876,Buon Ma Thuot,Dak Lak
seller_151,Ong Ha Huyen,ong.ha.huyen616@thegioididong.com,093445485,393033,Rach Gia,Kien Giang
seller_152,Luu Thanh Manh,luu.thanh.manh056@thegioididong.com,093797792,770186,Dong Ha,Quang Tri
seller_153,Ngo Thu Quynh,ngo.thu.quynh948@thegioididong.com,097633528,973571,Quang Ninh,Quang Ninh
seller_154,Yen Anh Bi,yen.anh.bi841@thegioididong.com,092752771,962623,Thu Dau Mot,Binh Duong
seller_155,Thoi Thanh An,thoi.thanh.an453@thegioididong.com,095266225,475557,Pleiku,Gia Lai
seller_156,Yen Van Chuong,yen.van.chuong857@thegioididong.com,096660299,427244,Bien Hoa,Dong Nai
seller_157,Tran Thuy Nghi,tran.thuy.nghi297@thegioididong.com,097320036,242307,Nam Dinh,Nam Dinh
seller_158,Ha Dinh An,ha.đinh.an523@thegioididong.com,098991854,436649,Buon Ma Thuot,Dak Lak
seller_159,Ly Le Ha,ly.le.ha435@thegioididong.com,093248842,770692,Pleiku,Gia Lai
seller_160,Le My Khanh,le.my.khanh155@thegioididong.com,099610229,998255,Thu Dau Mot,Binh Duong
seller_161,Doan Ngoc Ngoc,đoan.ngoc.ngoc162@thegioididong.com,096146884,369808,Da Nang,Da Nang
seller_162,Thoi Tuyet Diem,thoi.tuyet.diem254@thegioididong.com,095621912,316021,Tuy Hoa,Phu Yen
seller_163,Ly Thi Suong,ly.thi.suong755@thegioididong.com,094807406,616161,Tam Ky,Quang Nam
seller_164,Trinh Manh Thien,trinh.manh.thien765@thegioididong.com,099680282,187624,Hanoi,Hanoi
seller_165,Do The Xuan,đo.the.xuan160@thegioididong.com,091794108,317029,Dong Ha,Quang Tri
seller_166,Trieu Anh Trang,trieu.anh.trang999@thegioididong.com,096701061,138377,Hanoi,Hanoi
seller_167,Doan Phuc Tu,đoan.phuc.tu454@thegioididong.com,094101032,203834,Hai Phong,Hai Phong
seller_168,Vi Duy Tu,vi.duy.tu981@thegioididong.com,096572324,135386,Hanoi,Hanoi
seller_169,Bui Tuyet Phong,bui.tuyet.phong924@thegioididong.com,098487457,467547,Dong Hoi,Quang Binh
seller_170,Vo Anh Anh,vo.anh.anh782@thegioididong.com,091448344,736552,Ho Chi Minh City,HCMC
seller_171,Le Phuc Truong,le.phuc.truong011@thegioididong.com,094857002,245203,Nha Trang,Khanh Hoa
seller_172,Trinh Xuan Chinh,trinh.xuan.chinh244@thegioididong.com,092735293,151363,Hanoi,Hanoi
seller_173,Ung Duy Luan,ung.duy.luan267@thegioididong.com,094523238,596536,Da Lat,Lam Dong
seller_174,Ha Ngan Tuong,ha.ngan.tuong549@thegioididong.com,092394564,122039,Hanoi,Hanoi
seller_175,Ung Thao Tuong,ung.thao.tuong526@thegioididong.com,093343150,202931,Buon Ma Thuot,Dak Lak
seller_176,Dang Hao Tu,đang.hao.tu748@thegioididong.com,092311950,240464,Rach Gia,Kien Giang
seller_177,Tran Thanh Ngoc,tran.thanh.ngoc502@thegioididong.com,091622888,389173,Quy Nhon,Binh Dinh
seller_178,Le Anh Tam,le.anh.tam392@thegioididong.com,094576737,151796,Nha Trang,Khanh Hoa
seller_179,Luu Quynh Sao,luu.quynh.sao239@thegioididong.com,097330766,466414,Can Tho,Can Tho
seller_180,Kim Diem Phuong,kim.diem.phuong988@thegioididong.com,093364225,740025,Phan Thiet,Binh Thuan
seller_181,Chu Linh Hien,chu.linh.hien862@thegioididong.com,091562066,292742,Quy Nhon,Binh Dinh
seller_182,Dinh Thanh Luan,đinh.thanh.luan181@thegioididong.com,092238224,892198,Hai Phong,Hai Phong
seller_183,Chu Diem Trang,chu.diem.trang031@thegioididong.com,091574479,583173,Vinh,Nghe An
seller_184,Nguyen Quan Xuan,nguyen.quan.xuan730@thegioididong.com,094152828,764390,Quy Nhon,Binh Dinh
seller_185,Dinh Phong Kien,đinh.phong.kien368@thegioididong.com,095004811,150975,Hue,Thua Thien Hue
seller_186,Ha Kim Nhi,ha.kim.nhi753@thegioididong.com,097453958,580875,Hai Phong,Hai Phong
seller_187,Pham Chi Thuy,pham.chi.thuy575@thegioididong.com,095779028,539381,Rach Gia,Kien Giang
seller_188,Ung Quan Truong,ung.quan.truong226@thegioididong.com,094633198,140957,Hanoi,Hanoi
seller_189,Thai Duyen Anh,thai.duyen.anh063@thegioididong.com,093609125,703730,Thanh Hoa,Thanh Hoa
seller_190,Phan My Nhi,phan.my.nhi494@thegioididong.com,094769286,851673,Quy Nhon,Binh Dinh
seller_191,Doan Son Tien,đoan.son.tien579@thegioididong.com,098994813,172296,Bien Hoa,Dong Nai
seller_192,Dinh Giang Sao,đinh.giang.sao611@thegioididong.com,095370011,893395,Ha Tinh,Ha Tinh
seller_193,Doan My Phuong,đoan.my.phuong828@thegioididong.com,099327604,723261,Buon Ma Thuot,Dak Lak
seller_194,Luu Giang Nhi,luu.giang.nhi793@thegioididong.com,093990662,764106,Tuy Hoa,Phu Yen
seller_195,Thoi Phuong Anh,thoi.phuong.anh408@thegioididong.com,099705173,584981,Thanh Hoa,Thanh Hoa
seller_196,Phan Anh Long,phan.anh.long576@thegioididong.com,093940431,813005,Hue,Thua Thien Hue
seller_197,Vi Hoang Kien,vi.hoang.kien905@thegioididong.com,094023097,912999,Thanh Hoa,Thanh Hoa
seller_198,Ho Anh Nghia,ho.anh.nghia273@thegioididong.com,091393283,581044,Tam Ky,Quang Nam
seller_199,Phan Nam Tan,phan.nam.tan503@thegioididong.com,091397803,698427,Dong Hoi,Quang Binh
seller_200,Ton Lan Nhu,ton.lan.nhu978@thegioididong.com,099913224,975953,Buon Ma Thuot,Dak Lak
seller_201,Thai Hoang Khoi,thai.hoang.khoi457@thegioididong.com,099235492,723484,Hai Phong,Hai Phong
seller_202,Le Thanh Chien,le.thanh.chien726@thegioididong.com,093625943,163474,Da Lat,Lam Dong
seller_203,Vu Lan Hong,vu.lan.hong509@thegioididong.com,095758928,761604,Thanh Hoa,Thanh Hoa
seller_204,Lam Van Tung,lam.van.tung688@thegioididong.com,098825505,192919,Can Tho,Can Tho
seller_205,Cao Diem Bang,cao.diem.bang069@thegioididong.com,099111410,305308,Rach Gia,Kien Giang
seller_206,Thai Thu Man,thai.thu.man072@thegioididong.com,091886455,412077,Da Lat,Lam Dong
seller_207,Dang Lan Hong,đang.lan.hong716@thegioididong.com,093715902,640563,Buon Ma Thuot,Dak Lak
seller_208,Bui Nhat Quyet,bui.nhat.quyet983@thegioididong.com,097283465,589545,Dong Hoi,Quang Binh
seller_209,Vu Gia Chuong,vu.gia.chuong019@thegioididong.com,094495102,742285,Dong Hoi,Quang Binh
seller_210,Trieu Anh Thien,trieu.anh.thien670@thegioididong.com,091712309,520577,Vung Tau,Ba Ria-Vung Tau
seller_211,Hoang The Tu,hoang.the.tu587@thegioididong.com,098188728,454176,Hue,Thua Thien Hue
seller_212,Cao Thuy Lan,cao.thuy.lan962@thegioididong.com,095290529,884872,Rach Gia,Kien Giang
seller_213,Dinh Chi Hien,đinh.chi.hien049@thegioididong.com,096021175,253702,Dong Hoi,Quang Binh
seller_214,Truong Kim Suong,truong.kim.suong108@thegioididong.com,091135484,967356,Buon Ma Thuot,Dak Lak
seller_215,Tran Kim Hien,tran.kim.hien373@thegioididong.com,097855896,482298,Hai Phong,Hai Phong
seller_216,Ung Chi Hoa,ung.chi.hoa274@thegioididong.com,092531663,210890,Phan Thiet,Binh Thuan
seller_217,Bui Duyen Nghi,bui.duyen.nghi496@thegioididong.com,093067728,379390,Hai Phong,Hai Phong
seller_218,Ton Quyen Man,ton.quyen.man770@thegioididong.com,095397751,137351,Hanoi,Hanoi
seller_219,Ngo Anh Lam,ngo.anh.lam305@thegioididong.com,095424168,511263,Bien Hoa,Dong Nai
seller_220,Lam Long Vinh,lam.long.vinh218@thegioididong.com,093283816,738978,Hue,Thua Thien Hue
seller_221,Nguyen Nhat Thinh,nguyen.nhat.thinh906@thegioididong.com,093603462,319757,Nha Trang,Khanh Hoa
seller_222,Yen My Phong,yen.my.phong959@thegioididong.com,098482718,104699,Thai Nguyen,Thai Nguyen
seller_223,Ly Hoai Yen,ly.hoai.yen450@thegioididong.com,093817269,985311,Phan Thiet,Binh Thuan
seller_224,Chu Tuyet Linh,chu.tuyet.linh643@thegioididong.com,093766990,560132,Da Nang,Da Nang
seller_225,Quach Nam Thien,quach.nam.thien688@thegioididong.com,097406005,913119,Vung Tau,Ba Ria-Vung Tau
seller_226,Ung Thien Luan,ung.thien.luan487@thegioididong.com,098682669,169923,Rach Gia,Kien Giang
seller_227,Trinh Linh Quynh,trinh.linh.quynh178@thegioididong.com,094578291,569358,Long Xuyen,An Giang
seller_228,Ung Hung Thien,ung.hung.thien430@thegioididong.com,097511964,277292,Tuy Hoa,Phu Yen
seller_229,Doan Phuc Truong,đoan.phuc.truong651@thegioididong.com,092550491,153053,Can Tho,Can Tho
seller_230,Kim Duyen Phong,kim.duyen.phong310@thegioididong.com,091027221,792403,Ho Chi Minh City,HCMC
seller_231,Cao Thao Nga,cao.thao.nga470@thegioididong.com,095219312,880192,Da Lat,Lam Dong
seller_232,Duong Ngan Chinh,duong.ngan.chinh262@thegioididong.com,098438180,393379,Can Tho,Can Tho
seller_233,Ong Thien Quyet,ong.thien.quyet054@thegioididong.com,095095338,967925,Nha Trang,Khanh Hoa
seller_234,Vo Trung Khang,vo.trung.khang050@thegioididong.com,093639404,813731,Quy Nhon,Binh Dinh
seller_235,Ton Huong Sao,ton.huong.sao230@thegioididong.com,091353688,766961,Ha Tinh,Ha Tinh
seller_236,Nguyen Minh Thinh,nguyen.minh.thinh721@thegioididong.com,095106650,118691,Nam Dinh,Nam Dinh
seller_237,Vi Dinh Linh,vi.đinh.linh225@thegioididong.com,094225113,710460,Hai Phong,Hai Phong
seller_238,Hoang Quyen Huyen,hoang.quyen.huyen388@thegioididong.com,096411631,783005,Nam Dinh,Nam Dinh
seller_239,Ly Lan Thuy,ly.lan.thuy011@thegioididong.com,098453925,672843,Dong Ha,Quang Tri
seller_240,Vu Phong Phi,vu.phong.phi531@thegioididong.com,093802857,950151,Rach Gia,Kien Giang
seller_241,Ong Phong Dung,ong.phong.dung108@thegioididong.com,099315861,603577,Can Tho,Can Tho
seller_242,Dinh Vy Bang,đinh.vy.bang393@thegioididong.com,094125900,254404,Hue,Thua Thien Hue
seller_243,Ha Nhat Tan,ha.nhat.tan868@thegioididong.com,098343532,563004,Vung Tau,Ba Ria-Vung Tau
seller_244,Ngo Quynh Huong,ngo.quynh.huong294@thegioididong.com,098164976,817337,Da Lat,Lam Dong
seller_245,Thoi Dinh Binh,thoi.đinh.binh519@thegioididong.com,091396434,774619,Quy Nhon,Binh Dinh
seller_246,Kim Tuyet Bang,kim.tuyet.bang018@thegioididong.com,097604622,227109,Pleiku,Gia Lai
